signal_id,roulette_id,lookback_window,trigger,bets_len,overlap_unique,overlap_hits,overlap_ratio,overlap_group_unique,confidence_score,confidence_bucket,status_observed,baseline_outcome,baseline_hit_attempt
141fbb22-0c97-41e8-a2be-9228049be0a8,pragmatic-vip-roulette,1,29,14,1,1,0.071429,1,71,70+,win,win,4
142d8146-5b9b-4a0d-a940-4cac4063be4c,pragmatic-roulette-italian,1,26,14,1,1,0.071429,1,62,60-69,lost,loss,
1479aca3-95cb-4946-b62f-617c2eb78286,pragmatic-speed-roulette-2,1,25,14,1,1,0.071429,1,80,70+,win,win,2
15b09d79-f659-47e1-aebc-2273c6fdddc6,pragmatic-turkish-mega-roulette,1,36,14,0,0,0.0,0,65,60-69,win,win,1
15f98ac6-4a1c-4781-94b4-708eff8cca8f,pragmatic-roulette-2,1,25,14,0,0,0.0,0,56,<= 59,win,win,1
161e9ab1-17a8-4611-b58c-c90dcce9c3c4,pragmatic-speed-auto-roulette,1,8,14,0,0,0.0,0,61,60-69,win,win,1
1637fa9d-dbd2-4cbf-adfa-01875f0ff57d,pragmatic-roulette-2,1,33,14,0,0,0.0,0,66,60-69,win,win,1
1645f0f1-5d91-4a6d-9ff7-bacef329d0e5,pragmatic-turkish-mega-roulette,1,11,14,0,0,0.0,0,85,70+,win,win,2
1696663d-a37b-4fa5-a96b-9f2a7a5429fd,pragmatic-speed-roulette-2,1,18,14,1,1,0.071429,1,86,70+,lost,loss,
16d59e90-a4ab-4158-ae47-3beec1ff53e3,pragmatic-brazilian-roulette,1,33,14,1,1,0.071429,1,75,70+,win,win,4
171300b8-6e28-424f-ac9d-59e7c50200ce,pragmatic-turkish-roulette,1,27,14,0,0,0.0,0,88,70+,win,win,4
17195d20-30fa-4058-a5f6-e7973797f591,pragmatic-roulette-macao,1,16,14,0,0,0.0,0,74,70+,win,win,3
171f8f27-0a12-4f86-9afa-5ea2abc0f0bc,pragmatic-roulette-italia-tricolore,1,6,14,1,1,0.071429,1,86,70+,cancelled,win,1
17309067-afca-4d06-8db2-1fb71dc79600,pragmatic-speed-roulette-1,1,34,14,0,0,0.0,0,80,70+,win,win,3
17318b09-2599-4fa2-b2eb-2df5600cc6ca,pragmatic-roulete-3,1,24,14,0,0,0.0,0,82,70+,win,win,1
17563fd4-5e52-4965-9e05-ff01e02a026e,pragmatic-roulette-italia-tricolore,1,7,14,1,1,0.071429,1,74,70+,win,win,2
179bf80a-06e4-4014-86ab-3bf10ba2eebb,pragmatic-roulette-1,1,10,14,1,1,0.071429,1,66,60-69,win,win,2
17fc8872-e44e-4276-9177-0e768b050142,pragmatic-speed-auto-roulette,1,26,14,1,1,0.071429,1,68,60-69,cancelled,win,1
1804c417-7cd5-4453-83de-5098f4fd3d4c,pragmatic-immersive-roulette-deluxe,1,23,14,0,0,0.0,0,68,60-69,lost,loss,
184165dd-14b2-46a5-8169-633f0cdf164e,pragmatic-speed-auto-roulette,1,19,14,0,0,0.0,0,60,60-69,win,win,1
184a0f20-c711-4db8-a5fb-8899dbd4ef0f,pragmatic-roulette-1,1,19,14,1,1,0.071429,1,72,70+,win,win,3
1870d583-32c1-406d-9397-e08ab3919454,pragmatic-roulette-1,1,3,14,1,1,0.071429,1,77,70+,cancelled,win,1
18a725ce-590f-4a45-a80c-d882e5533556,pragmatic-turkish-mega-roulette,1,13,14,0,0,0.0,0,68,60-69,lost,loss,
18bbcd33-55d4-434b-a89c-ef9154f498d8,pragmatic-speed-roulette-2,1,10,14,0,0,0.0,0,67,60-69,lost,loss,
18bea527-1cfe-4487-811c-cafd3085801b,pragmatic-roulete-3,1,3,14,1,1,0.071429,1,68,60-69,win,win,4
18f2a9ae-4171-4e0b-86fc-33c7b328ca37,pragmatic-vip-roulette,1,23,14,0,0,0.0,0,76,70+,win,win,1
19587a68-6467-40b9-a991-0cecedddec08,pragmatic-speed-roulette-1,1,32,14,1,1,0.071429,1,75,70+,cancelled,win,1
195b4b67-64a3-4c8a-baaa-5ad6193c35b2,pragmatic-turkish-roulette,1,23,14,0,0,0.0,0,68,60-69,win,win,2
196d2123-d884-45b7-9163-5bae666b41e6,pragmatic-mega-roulette,1,36,14,1,1,0.071429,1,71,70+,cancelled,win,1
1979730b-cfaa-4804-95d4-6845779650a8,pragmatic-turkish-mega-roulette,1,11,14,1,1,0.071429,1,82,70+,win,win,2
19b44f4e-7c64-42cb-b4dd-e86c554448cc,pragmatic-vip-auto-roulette,1,11,14,1,1,0.071429,1,66,60-69,cancelled,win,1
19c95ae5-15e5-44bb-a243-8734d86dbc0b,pragmatic-mega-roulette-brazilian,1,30,14,0,0,0.0,0,68,60-69,win,win,1
1a0847f3-2c30-4d8f-9db7-1ed991a36fc3,pragmatic-roulette-2,1,4,14,0,0,0.0,0,62,60-69,win,win,2
1a0d9571-ed53-4715-82c0-fa43040e47de,pragmatic-roulette-italian,1,17,14,0,0,0.0,0,75,70+,win,win,1
1a159f32-6582-41b0-95e4-9db5abf3a535,pragmatic-roulete-3,1,18,14,1,1,0.071429,1,84,70+,cancelled,win,1
1ac1467f-4e18-42bc-9bfb-e776464a7ff9,pragmatic-mega-roulette-brazilian,1,28,14,0,0,0.0,0,70,70+,win,win,1
1afa5425-0822-47b5-9612-f08afc8ae8d1,pragmatic-mega-roulette,1,26,14,1,1,0.071429,1,76,70+,win,win,4
1b42042e-ebc3-4fed-b858-07bad0e6efb3,pragmatic-roulette-2,1,22,14,1,1,0.071429,1,67,60-69,cancelled,win,1
1b4daa5f-d36b-4486-8c4c-12aecf1a7937,pragmatic-speed-roulette-1,1,18,14,1,1,0.071429,1,68,60-69,win,win,3
1b5ebb3e-ed30-4c17-a0f8-7fb34012ab99,pragmatic-russian-roulette,1,19,14,1,1,0.071429,1,60,60-69,lost,loss,
1b808a4c-2e78-455a-964d-261bd612c464,pragmatic-speed-roulette-1,1,13,14,1,1,0.071429,1,85,70+,lost,loss,
1bc6dafa-134c-4185-9f67-355bf17eded4,pragmatic-speed-auto-roulette,1,0,14,1,1,0.071429,1,68,60-69,cancelled,win,1
1be24976-23ac-4bd9-b6f7-cff52e07e2a5,pragmatic-speed-auto-roulette,1,11,14,1,1,0.071429,1,62,60-69,win,win,3
1be90ddf-9790-4e93-91c5-2ce56575d031,pragmatic-roulette-italia-tricolore,1,28,14,1,1,0.071429,1,62,60-69,cancelled,win,1
1c429bea-a2ce-4804-b2a0-06d68ac86e48,pragmatic-auto-mega-roulette,1,25,14,1,1,0.071429,1,90,70+,cancelled,win,1
1c769dea-5e7c-45f4-967b-1f0af8459cd1,pragmatic-turkish-mega-roulette,1,6,14,0,0,0.0,0,67,60-69,win,win,2
1ca3c09e-1804-44a7-85b7-5ad1dbe907c3,pragmatic-romanian-roulette,1,25,14,1,1,0.071429,1,76,70+,cancelled,win,1
1cedb00d-b3b6-44f2-9a86-7796e0ee799b,pragmatic-roulette-italia-tricolore,1,19,14,1,1,0.071429,1,84,70+,cancelled,win,1
1cefc7f6-4885-4198-808d-0275570aaf16,pragmatic-roulette-macao,1,20,14,1,1,0.071429,1,66,60-69,cancelled,win,1
1d21e058-6183-4407-a780-b713eba3f196,pragmatic-german-roulette,1,23,14,0,0,0.0,0,68,60-69,lost,loss,
1d86b83f-da22-4f8f-827d-b33cafbabc81,pragmatic-german-roulette,1,10,14,1,1,0.071429,1,74,70+,cancelled,win,1
1db3a0e8-965a-48de-ab83-2f81d98f9e15,pragmatic-mega-roulette,1,10,14,1,1,0.071429,1,70,70+,win,win,2
1ddcf993-9a75-4ea2-ad6d-b2301cc701df,pragmatic-brazilian-roulette,1,7,14,0,0,0.0,0,60,60-69,win,win,1
1de24b84-fbeb-4863-8b73-195aa4d1efe4,pragmatic-roulette-italian,1,22,14,0,0,0.0,0,66,60-69,win,win,1
1de576ae-9e9d-49ba-a2e1-952828ff4e82,pragmatic-auto-roulette,1,26,14,0,0,0.0,0,68,60-69,win,win,1
1e4a6c06-925f-4b59-9ae6-65a3bcff77fe,pragmatic-roulete-3,1,18,14,0,0,0.0,0,76,70+,lost,loss,
1e582caa-cefd-448e-a4e6-d73623bc964d,pragmatic-turkish-roulette,1,19,14,0,0,0.0,0,74,70+,win,win,3
1e6129c2-9e39-4277-8237-e5a5d4f751dc,pragmatic-romanian-roulette,1,14,14,1,1,0.071429,1,69,60-69,win,win,2
1ea6ea93-97ff-46ac-a013-cbcb14c08746,pragmatic-speed-roulette-1,1,23,14,0,0,0.0,0,68,60-69,lost,loss,
1ec5342a-4601-4ee5-811a-d4d000e0c325,pragmatic-brazilian-roulette,1,8,14,1,1,0.071429,1,89,70+,win,win,2
1ec758e7-3fb8-490b-84f6-9684a357b65e,pragmatic-mega-roulette-brazilian,1,24,14,1,1,0.071429,1,62,60-69,cancelled,win,1
1f79ebd5-62a6-4e42-8de7-4a296a6de6ae,pragmatic-turkish-mega-roulette,1,9,14,0,0,0.0,0,64,60-69,win,win,1
1fc95651-73d6-461f-a68b-776565ecc418,pragmatic-turkish-mega-roulette,1,13,14,0,0,0.0,0,76,70+,win,win,1
1ff9b655-553b-4dbf-9048-a81979977796,pragmatic-korean-roulette,1,13,14,0,0,0.0,0,61,60-69,lost,loss,
2002ea1a-dd43-4aa6-8ad1-6691a506dc57,pragmatic-brazilian-roulette,1,1,14,0,0,0.0,0,76,70+,win,win,1
2018067d-8b5d-4e1d-b2d8-2a6f0acd3aaa,pragmatic-korean-roulette,1,16,14,1,1,0.071429,1,68,60-69,win,win,3
202da8c3-98e6-42e2-915f-79e57d15593e,pragmatic-auto-mega-roulette,1,29,14,0,0,0.0,0,78,70+,win,win,2
2064f160-f852-446a-8cbf-a87b4b6f7a67,pragmatic-roulette-macao,1,1,14,1,1,0.071429,1,73,70+,win,win,3
2079143f-7407-4cdc-b804-6d041777e85f,pragmatic-korean-roulette,1,23,14,0,0,0.0,0,65,60-69,win,win,3
20c4d0c3-b93a-4795-915d-5c6b4f6d1da9,pragmatic-auto-mega-roulette,1,5,14,1,1,0.071429,1,81,70+,cancelled,win,1
20df27e9-5fe8-4d68-962f-e0a6a2a7268c,pragmatic-roulette-italian,1,22,14,1,1,0.071429,1,69,60-69,win,win,2
210711d0-d55d-46af-b3f7-dbeb52ca12ce,pragmatic-speed-roulette-2,1,3,14,1,1,0.071429,1,55,<= 59,win,win,2
2138d351-8096-4b86-851d-5951495c7d80,pragmatic-roulette-italian,1,23,14,1,1,0.071429,1,72,70+,cancelled,win,1
214d45db-27c5-4582-9fb0-dee5bb101008,pragmatic-turkish-mega-roulette,1,23,14,0,0,0.0,0,71,70+,win,win,1
215ecf9a-70f9-4fff-b5e6-29c1f15bca50,pragmatic-mega-roulette,1,5,14,1,1,0.071429,1,86,70+,lost,loss,
219cfb33-4653-4d15-850a-5c5e97e26a3b,pragmatic-korean-roulette,1,25,14,1,1,0.071429,1,76,70+,win,win,2
224ee0ad-86f2-4714-aa9d-77ccf343d987,pragmatic-roulette-1,1,29,14,1,1,0.071429,1,86,70+,cancelled,win,1
